"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","COUNTRY.Description","COUNTERPART_COUNTRY.ID","COUNTERPART_COUNTRY","COUNTERPART_COUNTRY.Description","2023"
"IMF.STA:IMTS(1.0.0)","PLW.XG_FOB_USD.KHM.A","OBS_VALUE","PLW","Palau, Republic of","","KHM","Cambodia","","0.015984"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.FRO.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","FRO","Faroe Islands","","0.143619"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.ATG.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","ATG","Antigua and Barbuda","","0.002149"
"IMF.STA:IMTS(1.0.0)","ASM.XG_FOB_USD.MLI.A","OBS_VALUE","ASM","American Samoa","","MLI","Mali","","0.036715"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.BOL.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","BOL","Bolivia","","0.395634"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.MUS.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","MUS","Mauritius","","0.53919"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.BEN.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","BEN","Benin","","0.105826"
"IMF.STA:IMTS(1.0.0)","THA.XG_FOB_USD.AGO.A","OBS_VALUE","THA","Thailand","","AGO","Angola","","99.977246"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.HKG.A","OBS_VALUE","MDV","Maldives","","HKG","Hong Kong Special Administrative Region, People's Republic of China","","0.9987"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.NLD.A","OBS_VALUE","MDV","Maldives","","NLD","Netherlands, The","","1.580409"
"IMF.STA:IMTS(1.0.0)","SMR.XG_FOB_USD.FRA.A","OBS_VALUE","SMR","San Marino, Republic of","","FRA","France","","13.580311"
"IMF.STA:IMTS(1.0.0)","GUM.XG_FOB_USD.ITA.A","OBS_VALUE","GUM","Guam","","ITA","Italy","","0.931557"
"IMF.STA:IMTS(1.0.0)","SMR.XG_FOB_USD.LBN.A","OBS_VALUE","SMR","San Marino, Republic of","","LBN","Lebanon","","1.698453"
"IMF.STA:IMTS(1.0.0)","SMR.XG_FOB_USD.CYP.A","OBS_VALUE","SMR","San Marino, Republic of","","CYP","Cyprus","","0.260599"
"IMF.STA:IMTS(1.0.0)","GUM.XG_FOB_USD.POL.A","OBS_VALUE","GUM","Guam","","POL","Poland, Republic of","","0.018419"
"IMF.STA:IMTS(1.0.0)","SMR.XG_FOB_USD.ITA.A","OBS_VALUE","SMR","San Marino, Republic of","","ITA","Italy","","0.001141"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.BRA.A","OBS_VALUE","GHA","Ghana","","BRA","Brazil","","514.42295"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.DJI.A","OBS_VALUE","GHA","Ghana","","DJI","Djibouti","","0.303476"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.NLD.A","OBS_VALUE","GHA","Ghana","","NLD","Netherlands, The","","663.716238"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.HKG.A","OBS_VALUE","GHA","Ghana","","HKG","Hong Kong Special Administrative Region, People's Republic of China","","26.056593"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.SVN.A","OBS_VALUE","GHA","Ghana","","SVN","Slovenia, Republic of","","4.079685"
"IMF.STA:IMTS(1.0.0)","GHA.XG_FOB_USD.GRL.A","OBS_VALUE","GHA","Ghana","","GRL","Greenland","","0.074842"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.GBR.A","OBS_VALUE","POL","Poland, Republic of","","GBR","United Kingdom","","19083.021105"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.CUW.A","OBS_VALUE","POL","Poland, Republic of","","CUW","Curaçao, Kingdom of the Netherlands","","6.439374"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.URY.A","OBS_VALUE","POL","Poland, Republic of","","URY","Uruguay","","22.932564"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.COG.A","OBS_VALUE","POL","Poland, Republic of","","COG","Congo, Republic of","","37.076289"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.SAU.A","OBS_VALUE","POL","Poland, Republic of","","SAU","Saudi Arabia","","922.055189"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.DNK.A","OBS_VALUE","POL","Poland, Republic of","","DNK","Denmark","","6143.414863"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.TUR.A","OBS_VALUE","POL","Poland, Republic of","","TUR","Türkiye, Republic of","","5093.44954"
"IMF.STA:IMTS(1.0.0)","POL.XG_FOB_USD.LVA.A","OBS_VALUE","POL","Poland, Republic of","","LVA","Latvia, Republic of","","2620.81493"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.MLT.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","MLT","Malta","","9.0E-4"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.VNM.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","VNM","Vietnam","","392.639932"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.GNQ.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","GNQ","Equatorial Guinea, Republic of","","0.00366"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.RUS.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","RUS","Russian Federation","","0.003696"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.AUS.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","AUS","Australia","","0.12042"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.DZA.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","DZA","Algeria","","0.078384"
"IMF.STA:IMTS(1.0.0)","FJI.XG_FOB_USD.GBR.A","OBS_VALUE","FJI","Fiji, Republic of","","GBR","United Kingdom","","21.496292"
"IMF.STA:IMTS(1.0.0)","LBR.XG_FOB_USD.G080.A","OBS_VALUE","LBR","Liberia","","G080","EMDEs by Source of Export Earnings: Fuel","EMDEs whose main source (>50%) of export earnings is Fuel.","4.870456"
"IMF.STA:IMTS(1.0.0)","COD.XG_FOB_USD.SDN.A","OBS_VALUE","COD","Congo, Democratic Republic of the","","SDN","Sudan","","0.021911"
"IMF.STA:IMTS(1.0.0)","GEO.XG_FOB_USD.G080.A","OBS_VALUE","GEO","Georgia","","G080","EMDEs by Source of Export Earnings: Fuel","EMDEs whose main source (>50%) of export earnings is Fuel.","2425.147324"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.CHL.A","OBS_VALUE","KOS","Kosovo, Republic of","","CHL","Chile","","0.015131"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.KAZ.A","OBS_VALUE","KOS","Kosovo, Republic of","","KAZ","Kazakhstan, Republic of","","6.543742"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.AUS.A","OBS_VALUE","KOS","Kosovo, Republic of","","AUS","Australia","","1.504204"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.DZA.A","OBS_VALUE","KOS","Kosovo, Republic of","","DZA","Algeria","","0.005376"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.MLT.A","OBS_VALUE","KOS","Kosovo, Republic of","","MLT","Malta","","0.367894"
"IMF.STA:IMTS(1.0.0)","KOS.XG_FOB_USD.VNM.A","OBS_VALUE","KOS","Kosovo, Republic of","","VNM","Vietnam","","0.147169"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.HRV.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","HRV","Croatia, Republic of","","5.313243"
"IMF.STA:IMTS(1.0.0)","PLW.XG_FOB_USD.MDV.A","OBS_VALUE","PLW","Palau, Republic of","","MDV","Maldives","","6.6E-5"
"IMF.STA:IMTS(1.0.0)","IRN.XG_FOB_USD.AGO.A","OBS_VALUE","IRN","Iran, Islamic Republic of","","AGO","Angola","","0.474287"
"IMF.STA:IMTS(1.0.0)","SMR.XG_FOB_USD.CUB.A","OBS_VALUE","SMR","San Marino, Republic of","","CUB","Cuba","","1.421066"
