country_name,level_0_block_id,level_1_block_id,level_2_block_id,level_3_block_id,level_4_block_id,level_5_block_id,level_6_block_id,level_7_block_id,level_8_block_id
"Palau, Republic of",189,2,0,0,0,0,0,0,0
"Iran, Islamic Republic of",50,5,0,0,0,0,0,0,0
American Samoa,189,0,0,0,0,0,0,0,0
Thailand,196,2,0,0,0,0,0,0,0
Maldives,116,5,0,0,0,0,0,0,0
"San Marino, Republic of",116,2,0,0,0,0,0,0,0
Guam,189,0,0,0,0,0,0,0,0
Ghana,48,0,0,0,0,0,0,0,0
"Poland, Republic of",196,5,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",48,5,0,0,0,0,0,0,0
"Fiji, Republic of",189,2,0,0,0,0,0,0,0
"Kosovo, Republic of",48,5,0,0,0,0,0,0,0
"Yemen, Republic of",48,0,0,0,0,0,0,0,0
"Anguilla, United Kingdom-British Overseas Territory",57,2,0,0,0,0,0,0,0
Spain,196,5,0,0,0,0,0,0,0
"Curaçao, Kingdom of the Netherlands",57,5,0,0,0,0,0,0,0
Kyrgyz Republic,116,5,0,0,0,0,0,0,0
Guinea-Bissau,33,5,0,0,0,0,0,0,0
Seychelles,116,5,0,0,0,0,0,0,0
Liberia,33,5,0,0,0,0,0,0,0
"Uzbekistan, Republic of",116,5,0,0,0,0,0,0,0
Denmark,196,5,0,0,0,0,0,0,0
Sweden,196,2,0,0,0,0,0,0,0
Chad,33,5,0,0,0,0,0,0,0
Saudi Arabia,196,2,0,0,0,0,0,0,0
Dominican Republic,164,0,0,0,0,0,0,0,0
Australia,196,2,0,0,0,0,0,0,0
Lao People's Democratic Republic,116,2,0,0,0,0,0,0,0
Djibouti,33,5,0,0,0,0,0,0,0
Malaysia,196,2,0,0,0,0,0,0,0
"Nauru, Republic of",189,0,0,0,0,0,0,0,0
Costa Rica,164,5,0,0,0,0,0,0,0
Algeria,48,2,0,0,0,0,0,0,0
"Eritrea, The State of",116,5,0,0,0,0,0,0,0
Georgia,48,2,0,0,0,0,0,0,0
South Africa,196,5,0,0,0,0,0,0,0
"Moldova, Republic of",48,2,0,0,0,0,0,0,0
Senegal,48,2,0,0,0,0,0,0,0
Mali,33,0,0,0,0,0,0,0,0
Canada,196,5,0,0,0,0,0,0,0
Jamaica,164,0,0,0,0,0,0,0,0
Guinea,33,5,0,0,0,0,0,0,0
El Salvador,164,5,0,0,0,0,0,0,0
Malawi,48,2,0,0,0,0,0,0,0
Greenland,189,0,0,0,0,0,0,0,0
"Sint Maarten, Kingdom of the Netherlands",57,5,0,0,0,0,0,0,0
"Hong Kong Special Administrative Region, People's Republic of China",196,2,0,0,0,0,0,0,0
"Equatorial Guinea, Republic of",33,5,0,0,0,0,0,0,0
Lebanon,50,2,0,0,0,0,0,0,0
Iceland,164,2,0,0,0,0,0,0,0
"Tanzania, United Republic of",48,2,0,0,0,0,0,0,0
"Marshall Islands, Republic of the",189,5,0,0,0,0,0,0,0
"Micronesia, Federated States of",189,0,0,0,0,0,0,0,0
"Estonia, Republic of",50,5,0,0,0,0,0,0,0
Indonesia,196,2,0,0,0,0,0,0,0
Grenada,57,5,0,0,0,0,0,0,0
St. Kitts and Nevis,57,2,0,0,0,0,0,0,0
Pakistan,196,5,0,0,0,0,0,0,0
Samoa,189,0,0,0,0,0,0,0,0
United States,196,0,0,0,0,0,0,0,0
"Ethiopia, The Federal Democratic Republic of",48,0,0,0,0,0,0,0,0
United Kingdom,196,2,0,0,0,0,0,0,0
Angola,50,2,0,0,0,0,0,0,0
Sierra Leone,33,2,0,0,0,0,0,0,0
"Egypt, Arab Republic of",50,2,0,0,0,0,0,0,0
Tuvalu,189,5,0,0,0,0,0,0,0
Argentina,50,5,0,0,0,0,0,0,0
Italy,196,2,0,0,0,0,0,0,0
"Azerbaijan, Republic of",48,5,0,0,0,0,0,0,0
St. Lucia,57,0,0,0,0,0,0,0,0
Ecuador,164,5,0,0,0,0,0,0,0
Mauritius,48,2,0,0,0,0,0,0,0
Bhutan,189,2,0,0,0,0,0,0,0
Vietnam,48,0,0,0,0,0,0,0,0
Cambodia,116,2,0,0,0,0,0,0,0
Ukraine,50,5,0,0,0,0,0,0,0
Suriname,57,5,0,0,0,0,0,0,0
"Croatia, Republic of",50,5,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",50,5,0,0,0,0,0,0,0
Philippines,196,2,0,0,0,0,0,0,0
Mongolia,116,5,0,0,0,0,0,0,0
Morocco,50,5,0,0,0,0,0,0,0
Norway,196,5,0,0,0,0,0,0,0
Romania,50,5,0,0,0,0,0,0,0
Cyprus,50,5,0,0,0,0,0,0,0
Haiti,57,5,0,0,0,0,0,0,0
Honduras,164,0,0,0,0,0,0,0,0
Colombia,50,5,0,0,0,0,0,0,0
"South Sudan, Republic of",116,5,0,0,0,0,0,0,0
Botswana,116,5,0,0,0,0,0,0,0
Vanuatu,189,5,0,0,0,0,0,0,0
Belize,57,5,0,0,0,0,0,0,0
Rwanda,33,5,0,0,0,0,0,0,0
"Madagascar, Republic of",48,5,0,0,0,0,0,0,0
"Timor-Leste, Democratic Republic of",189,2,0,0,0,0,0,0,0
Russian Federation,50,2,0,0,0,0,0,0,0
Solomon Islands,189,5,0,0,0,0,0,0,0
United Arab Emirates,196,2,0,0,0,0,0,0,0
Portugal,196,0,0,0,0,0,0,0,0
Bermuda,57,5,0,0,0,0,0,0,0
Turkmenistan,116,0,0,0,0,0,0,0,0
Panama,164,0,0,0,0,0,0,0,0
"Afghanistan, Islamic Republic of",116,5,0,0,0,0,0,0,0
"Gambia, The",33,0,0,0,0,0,0,0,0
"Türkiye, Republic of",196,2,0,0,0,0,0,0,0
Iraq,48,5,0,0,0,0,0,0,0
"Venezuela, República Bolivariana de",164,2,0,0,0,0,0,0,0
Somalia,116,5,0,0,0,0,0,0,0
French Polynesia,189,2,0,0,0,0,0,0,0
"Mauritania, Islamic Republic of",33,5,0,0,0,0,0,0,0
"Lesotho, Kingdom of",116,2,0,0,0,0,0,0,0
Bulgaria,50,5,0,0,0,0,0,0,0
Mexico,50,5,0,0,0,0,0,0,0
"São Tomé and Príncipe, Democratic Republic of",33,5,0,0,0,0,0,0,0
Côte d'Ivoire,50,0,0,0,0,0,0,0,0
"North Macedonia, Republic of",48,5,0,0,0,0,0,0,0
Burundi,116,5,0,0,0,0,0,0,0
Finland,196,0,0,0,0,0,0,0,0
Holy See,189,5,0,0,0,0,0,0,0
Peru,164,5,0,0,0,0,0,0,0
Barbados,57,5,0,0,0,0,0,0,0
Bolivia,164,5,0,0,0,0,0,0,0
Japan,196,0,0,0,0,0,0,0,0
Myanmar,116,2,0,0,0,0,0,0,0
Gabon,33,2,0,0,0,0,0,0,0
Kenya,196,0,0,0,0,0,0,0,0
Guatemala,164,2,0,0,0,0,0,0,0
Bangladesh,48,0,0,0,0,0,0,0,0
Tunisia,48,5,0,0,0,0,0,0,0
France,196,5,0,0,0,0,0,0,0
Uganda,116,0,0,0,0,0,0,0,0
Namibia,50,2,0,0,0,0,0,0,0
Jordan,48,5,0,0,0,0,0,0,0
Niger,33,5,0,0,0,0,0,0,0
"Congo, Republic of",33,2,0,0,0,0,0,0,0
Czech Republic,196,0,0,0,0,0,0,0,0
Malta,50,0,0,0,0,0,0,0,0
"Aruba, Kingdom of the Netherlands",57,2,0,0,0,0,0,0,0
India,196,5,0,0,0,0,0,0,0
"Eswatini, Kingdom of",48,5,0,0,0,0,0,0,0
Gibraltar,189,0,0,0,0,0,0,0,0
