country_name,level_0_block_id,level_1_block_id,level_2_block_id,level_3_block_id,level_4_block_id,level_5_block_id,level_6_block_id,level_7_block_id,level_8_block_id
"Palau, Republic of",152,7,0,0,0,0,0,0,0
"Iran, Islamic Republic of",139,6,0,0,0,0,0,0,0
American Samoa,152,7,0,0,0,0,0,0,0
Thailand,189,3,0,0,0,0,0,0,0
Maldives,26,7,0,0,0,0,0,0,0
"San Marino, Republic of",65,3,0,0,0,0,0,0,0
Guam,152,7,0,0,0,0,0,0,0
Ghana,163,0,0,0,0,0,0,0,0
"Poland, Republic of",70,7,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",163,7,0,0,0,0,0,0,0
"Fiji, Republic of",26,7,0,0,0,0,0,0,0
"Kosovo, Republic of",154,3,0,0,0,0,0,0,0
"Yemen, Republic of",65,7,0,0,0,0,0,0,0
"Anguilla, United Kingdom-British Overseas Territory",152,7,0,0,0,0,0,0,0
Spain,70,7,0,0,0,0,0,0,0
"Curaçao, Kingdom of the Netherlands",152,6,0,0,0,0,0,0,0
Kyrgyz Republic,154,7,0,0,0,0,0,0,0
Guinea-Bissau,65,6,0,0,0,0,0,0,0
Seychelles,65,3,0,0,0,0,0,0,0
Liberia,65,0,0,0,0,0,0,0,0
"Uzbekistan, Republic of",139,0,0,0,0,0,0,0,0
Denmark,114,7,0,0,0,0,0,0,0
Sweden,114,7,0,0,0,0,0,0,0
Chad,26,7,0,0,0,0,0,0,0
Saudi Arabia,114,0,0,0,0,0,0,0,0
Dominican Republic,136,7,0,0,0,0,0,0,0
Australia,189,6,0,0,0,0,0,0,0
Lao People's Democratic Republic,26,7,0,0,0,0,0,0,0
Djibouti,65,3,0,0,0,0,0,0,0
Malaysia,189,3,0,0,0,0,0,0,0
"Nauru, Republic of",152,7,0,0,0,0,0,0,0
Costa Rica,136,7,0,0,0,0,0,0,0
Algeria,203,3,0,0,0,0,0,0,0
"Eritrea, The State of",26,7,0,0,0,0,0,0,0
Georgia,139,7,0,0,0,0,0,0,0
South Africa,114,0,0,0,0,0,0,0,0
"Moldova, Republic of",154,7,0,0,0,0,0,0,0
Senegal,163,7,0,0,0,0,0,0,0
Mali,163,6,0,0,0,0,0,0,0
Canada,189,6,0,0,0,0,0,0,0
Jamaica,136,7,0,0,0,0,0,0,0
Guinea,65,3,0,0,0,0,0,0,0
"Hong Kong Special Administrative Region, People's Republic of China",189,7,0,0,0,0,0,0,0
El Salvador,136,6,0,0,0,0,0,0,0
Malawi,65,7,0,0,0,0,0,0,0
Greenland,65,7,0,0,0,0,0,0,0
"Sint Maarten, Kingdom of the Netherlands",152,6,0,0,0,0,0,0,0
"Equatorial Guinea, Republic of",163,0,0,0,0,0,0,0,0
Lebanon,139,7,0,0,0,0,0,0,0
Iceland,163,3,0,0,0,0,0,0,0
"Tanzania, United Republic of",139,3,0,0,0,0,0,0,0
"Marshall Islands, Republic of the",65,7,0,0,0,0,0,0,0
"Micronesia, Federated States of",26,0,0,0,0,0,0,0,0
